Geneid,Control_1,Control_2,Control_3,Ab42_1,Ab42_2,Ab42_3
FBgn0250732,2711,2464,2068,1924,2634,2069
FBti0060344,0,0,0,0,0,0
FBgn0286036,0,0,0,0,0,0
FBgn0037409,121,184,148,304,318,238
FBgn0027948,19142,13799,12750,13541,18983,14828
FBgn0038675,1127,1125,961,1044,1478,1078
FBgn0264900,1,0,0,3,1,5
FBgn0000500,132,108,113,121,132,160
FBgn0261504,0,0,0,0,1,0
FBgn0037610,1138,1005,899,1636,1336,1506
FBgn0053095,0,0,0,0,0,0
FBgn0038070,19,7,31,26,9,35
FBgn0267571,2,1,4,8,2,0
FBgn0261859,2535,2114,3883,2735,3264,2912
FBgn0262389,0,0,0,1,0,0
FBgn0037363,6889,4396,4772,5363,7561,6190
FBgn0039552,11,0,0,39,12,15
FBgn0267797,0,0,0,8,8,5
FBgn0039732,671,630,529,534,758,558
FBgn0038224,7526,8095,7760,5888,8299,7461
FBgn0264776,1506,943,1424,1446,1275,1715
FBgn0038525,74,25,42,59,65,92
FBgn0262397,0,0,0,0,0,0
FBti0019351,0,0,0,0,1,1
FBti0019410,0,0,1,0,0,0
FBgn0262899,103,0,0,119,56,202
FBgn0261436,2593,2108,2536,2104,2623,2529
FBti0063117,0,0,0,0,0,0
FBgn0262378,0,0,0,0,0,0
FBgn0038814,5,9,4,14,14,14
FBgn0286871,20,2,5,3,4,6
FBgn0267809,2,0,1,3,1,2
FBgn0038279,383,384,415,485,666,406
FBgn0037625,1,2,0,4,1,0
FBgn0053093,8,5,10,5,10,11
FBti0062189,0,0,0,0,0,0
FBti0019436,2,0,2,1,3,5
FBgn0051579,0,0,2,0,0,0
FBgn0027574,1009,899,929,897,1070,989
FBgn0260746,1217,617,706,1449,746,1408
FBgn0037930,2823,2405,2064,1812,2727,2232
FBgn0038709,59,0,0,375,170,325
FBgn0027095,3219,3072,3003,2980,3673,3892
FBtr0309605_df_nrg,0,0,0,0,0,0
FBgn0051450,1380,1376,1219,941,1624,1142
FBgn0038774,647,573,793,838,840,771
FBgn0037794,1154,914,973,913,1468,1018
FBgn0039229,5501,4656,4744,5183,6271,4974
FBgn0065064,68,37,66,64,19,22
FBti0019348,3,0,0,65,45,70
FBgn0038737,562,534,541,536,732,514
FBgn0262431,0,0,0,0,0,0
FBti0063768,0,0,0,0,0,0
FBgn0037399,0,0,0,5,3,2
FBti0019411,0,0,0,1,0,0
FBti0020393,1,1,4,4,4,7
FBgn0039291,910,882,822,746,1150,908
FBgn0037547,4013,3187,5570,7425,5833,7953
FBgn0038966,1058,1034,979,938,1283,1128
FBgn0037690,57,43,84,72,68,69
FBti0019321,2,0,5,2,2,4
FBgn0038783,0,0,4,0,0,0
FBgn0011998,0,0,0,0,0,0
FBgn0038055,1363,1204,1157,1203,1774,1174
FBgn0261453,1,0,0,0,0,0
FBgn0261792,1058,1138,977,898,1255,941
FBgn0040606,16355,11048,18111,13881,15604,20051
FBgn0037709,1993,1516,1828,1539,1694,1852
FBti0059826,0,0,0,0,0,0
FBgn0051106,1893,1561,3976,4073,4062,6516
FBti0019291,0,0,0,0,1,0
FBgn0039131,262,136,208,674,308,541
FBgn0267686,2,0,0,2,2,4
FBti0062552,0,0,0,0,0,1
FBti0061858,0,0,0,0,0,0
