## FlyBase D. melanogaster-Human Orthologs and associated diseases report
## Generated: Sun Mar 30 12:43:55 2025
## Using datasource: dbi:Pg:dbname=fb_2025_02_reporting;host=flysql25;port=5432...

##Dmel_gene_ID	Dmel_gene_symbol	Human_gene_HGNC_ID	Human_gene_OMIM_ID	Human_gene_symbol	DIOPT_score	OMIM_Phenotype_IDs	OMIM_Phenotype_IDs[name]
FBgn0031081	Nep3	HGNC:8918	MIM:300550	PHEX	5	307800	307800[HYPOPHOSPHATEMIC RICKETS, X-LINKED DOMINANT; XLHRD]
FBgn0031081	Nep3	HGNC:14668	MIM:618104	MMEL1	8		
FBgn0031081	Nep3	HGNC:7154	MIM:120520	MME	7	617017,617018	617017[CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2T; CMT2T],617018[SPINOCEREBELLAR ATAXIA 43; SCA43]
FBgn0031081	Nep3	HGNC:13275	MIM:610145	ECE2	12		
FBgn0031081	Nep3	HGNC:3147	MIM:605896	ECEL1	7	615065	615065[ARTHROGRYPOSIS, DISTAL, TYPE 5D; DA5D]
FBgn0031081	Nep3	HGNC:3146	MIM:600423	ECE1	14	145500,613870	145500[HYPERTENSION, ESSENTIAL],613870[HIRSCHSPRUNG DISEASE, CARDIAC DEFECTS, AND AUTONOMIC DYSFUNCTION; HCAD]
FBgn0031081	Nep3	HGNC:6308	MIM:613883	KEL	5	110900	110900[BLOOD GROUP--KELL SYSTEM; KEL]
FBgn0031081	Nep3	HGNC:53615		EEF1AKMT4-ECE2	13		
FBgn0031086	fd19B	HGNC:3735	MIM:602939	FOXS1	5		
FBgn0031086	fd19B	HGNC:3803	MIM:602211	FOXD2	4		
FBgn0031086	fd19B	HGNC:1092	MIM:605597	FOXL2	3	110100,608996	110100[BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES],608996[PREMATURE OVARIAN FAILURE 3; POF3]
FBgn0031086	fd19B	HGNC:3811	MIM:164874	FOXG1	5	613454	613454[RETT SYNDROME, CONGENITAL VARIANT]
FBgn0031086	fd19B	HGNC:3806	MIM:602617	FOXE1	4	241850,616534	241850[BAMFORTH-LAZARUS SYNDROME; BAMLAZ],616534[THYROID CANCER, NONMEDULLARY, 4; NMTC4]
FBgn0031086	fd19B	HGNC:3801	MIM:602402	FOXC2	4	153400	153400[LYMPHEDEMA-DISTICHIASIS SYNDROME; LPHDST]
FBgn0031086	fd19B	HGNC:6036	MIM:147685	FOXK2	4		
FBgn0031086	fd19B	HGNC:18521	MIM:611084	FOXD4L1	4		
FBgn0031086	fd19B	HGNC:3817	MIM:603252	FOXL1	5	620576	620576[OTOSCLEROSIS 11; OTSC11]
FBgn0031086	fd19B	HGNC:3804	MIM:611539	FOXD3	4	607836	607836[AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 1; AIS1]
FBgn0031086	fd19B	HGNC:18523	MIM:611086	FOXD4L3	4		
FBgn0031086	fd19B	HGNC:3805	MIM:601092	FOXD4	4		
FBgn0031086	fd19B	HGNC:23480	MIM:616302	FOXK1	4		
FBgn0031086	fd19B	HGNC:18522		FOXD4L5	4		
FBgn0031086	fd19B	HGNC:23762	MIM:611085	FOXD4L4	4		
FBgn0031086	fd19B	HGNC:31986		FOXD4L6	4		
FBgn0031086	fd19B	HGNC:3800	MIM:601090	FOXC1	4	601631,602482	601631[ANTERIOR SEGMENT DYSGENESIS 3; ASGD3],602482[AXENFELD-RIEGER SYNDROME, TYPE 3; RIEG3]
FBgn0031086	fd19B	HGNC:3802	MIM:601091	FOXD1	4		
FBgn0031086	fd19B	HGNC:3809	MIM:601089	FOXF1	3	265380	265380[ALVEOLAR CAPILLARY DYSPLASIA WITH MISALIGNMENT OF PULMONARY VEINS; ACDMPV]
FBgn0031086	fd19B	HGNC:3815	MIM:601093	FOXI1	5	600791	600791[DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT; DFNB4]
FBgn0031086	fd19B	HGNC:3808	MIM:601094	FOXE3	4	610256,612968,617349	610256[ANTERIOR SEGMENT DYSGENESIS 2; ASGD2],612968[CATARACT 34, MULTIPLE TYPES; CTRCT34],617349[AORTIC ANEURYSM, FAMILIAL THORACIC 11, SUSCEPTIBILITY TO; AAT11]
FBgn0031086	fd19B	HGNC:32448	MIM:617202	FOXI2	5		
FBgn0031086	fd19B	HGNC:3818	MIM:602341	FOXM1	3		
FBgn0031086	fd19B	HGNC:3816	MIM:602291	FOXJ1	3	618699	618699[CILIARY DYSKINESIA, PRIMARY, 43; CILD43]
FBgn0031086	fd19B	HGNC:20951	MIM:612788	FOXQ1	3		
FBgn0031086	fd19B	HGNC:29178	MIM:616035	FOXJ3	4		
FBgn0031086	fd19B	HGNC:24818	MIM:619162	FOXJ2	4		
FBgn0031086	fd19B	HGNC:3814	MIM:603621	FOXH1	3		
FBgn0031086	fd19B	HGNC:35123	MIM:612351	FOXI3	5	620444	620444[CRANIOFACIAL MICROSOMIA 2; CFM2]
FBgn0031086	fd19B	HGNC:54201		FOXL3	3		
FBgn0031082	lky	HGNC:21186	MIM:615556	ATAT1	8		
FBgn0053217	CG33217	HGNC:30134	MIM:609455	PELP1	5		
FBgn0052350	Vps11	HGNC:14583	MIM:608549	VPS11	12	616683,619637	616683[LEUKODYSTROPHY, HYPOMYELINATING, 12; HLD12],619637[DYSTONIA 32; DYT32]
FBgn0024733	RpL10	HGNC:10298	MIM:312173	RPL10	12	300847,300998	300847[AUTISM, SUSCEPTIBILITY TO, X-LINKED 5; AUTSX5],300998[INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 35; MRXS35]
FBgn0024733	RpL10	HGNC:17976	MIM:619655	RPL10L	13	619689	619689[SPERMATOGENIC FAILURE 63; SPGF63]
FBgn0040372	G9a	HGNC:14129	MIM:604599	EHMT2	12		
FBgn0040372	G9a	HGNC:10762	MIM:609834	SETMAR	3		
FBgn0040372	G9a	HGNC:24650	MIM:607001	EHMT1	12	610253	610253[KLEEFSTRA SYNDROME 1; KLEFS1]
FBgn0040372	G9a	HGNC:11479	MIM:300254	SUV39H1	3		
FBgn0040372	G9a	HGNC:17287	MIM:606503	SUV39H2	4		
FBgn0000316	cin	HGNC:15465	MIM:603930	GPHN	14	615501	615501[MOLYBDENUM COFACTOR DEFICIENCY, TYPE C; MOCODC]
FBgn0000022	ac	HGNC:24311	MIM:609155	ASCL4	5		
FBgn0000022	ac	HGNC:738	MIM:100790	ASCL1	9		
FBgn0000022	ac	HGNC:739	MIM:601886	ASCL2	8		
FBgn0000022	ac	HGNC:740	MIM:609154	ASCL3	5		
FBgn0000022	ac	HGNC:33169	MIM:620809	ASCL5	5		
FBgn0004170	sc	HGNC:24311	MIM:609155	ASCL4	4		
FBgn0004170	sc	HGNC:738	MIM:100790	ASCL1	7		
FBgn0004170	sc	HGNC:739	MIM:601886	ASCL2	7		
FBgn0004170	sc	HGNC:740	MIM:609154	ASCL3	4		
FBgn0004170	sc	HGNC:33169	MIM:620809	ASCL5	5		
FBgn0002561	l(1)sc	HGNC:24311	MIM:609155	ASCL4	3		
FBgn0002561	l(1)sc	HGNC:738	MIM:100790	ASCL1	9		
FBgn0002561	l(1)sc	HGNC:739	MIM:601886	ASCL2	9		
FBgn0002561	l(1)sc	HGNC:740	MIM:609154	ASCL3	3		
FBgn0002561	l(1)sc	HGNC:33169	MIM:620809	ASCL5	4		
FBgn0000137	ase	HGNC:24311	MIM:609155	ASCL4	3		
FBgn0000137	ase	HGNC:738	MIM:100790	ASCL1	5		
FBgn0000137	ase	HGNC:739	MIM:601886	ASCL2	5		
FBgn0000137	ase	HGNC:740	MIM:609154	ASCL3	3		
